# Per-game PlayerStats interval stats
replay_id,mean_diff,std_diff,min_diff,max_diff,year
4227b145df7bdd3f10866ccb6e592089,157.05343511450383,19.523679105166792,0.0,160.0,2023
48b92803b11f299a6153ebedbfd3202b,157.5036496350365,17.351946868050156,0.0,160.0,2018
4974cc959e46252636da2ea83aaf9e41,155.83157894736843,23.367850542353366,0.0,160.0,2022
4cc7f3b6696efa1b2a1954a1f4491cf5,158.58131487889273,13.91596044869109,0.0,160.0,2019
4d4beea57fd6622206aa4f16dcfb77a1,159.71428571428572,16.696628177880775,0.0,320.0,2021
4ff2a428c9c72105fcac3a25960d414e,159.06959706959708,10.43144244010232,0.0,160.0,2024
4ffdad3d29673f646d32577d5bb2b42d,156.94117647058823,21.610863281338524,0.0,160.0,2024
51bf420678cb648fc18332917c373329,158.31970260223048,15.798699357977597,0.0,160.0,2023
54077e6541146ca3bc3f78b2478e16fb,158.7588424437299,12.726770512899144,0.0,160.0,2024
5a299b8337634afb7b0ad5f8e39737ab,158.41350210970464,14.247134233581813,0.0,160.0,2019
5a5da223ef52aa43491222282246d40b,156.38167938931298,23.625103342148307,0.0,160.0,2018
5b1e3da4c6d03a19275d3e2cb5cb8a7a,157.168,18.62868755441456,0.0,160.0,2022
5b3270c0b9c87dae424338c2e06a3e91,158.55230125523013,13.288823925412984,0.0,160.0,2019
61c91f67233794123c4e8b0afeea1dd2,159.41803278688525,6.324347314439101,90.0,160.0,2020
63c86ccb6e57307b772e7742e4661ef1,158.01626016260164,15.278820517002513,0.0,160.0,2016
64c9d62105f551f0b5f56bae18d8fccf,156.46753246753246,20.095550971077373,0.0,160.0,2021
6b85e2fe07c66cbcc1a34d726c0d2242,158.1576354679803,15.315971677980986,0.0,160.0,2024
6be2c6f4abfee6752b546f36143cfc6d,157.9744680851064,17.775408780147014,0.0,160.0,2016
6dbbbde993e90a48cbaa2d23f12ea2e4,157.99086757990867,17.04822917640398,0.0,160.0,2023
7084671ba65b86711750df7edabb841b,158.72611464968153,12.927118913239235,0.0,160.0,2022
71a9b8008f232a64623cc6cddee2b9ab,158.17733990147784,15.182000768814724,0.0,160.0,2023
71c4552885d145ec185c504beaeed67a,158.27848101265823,15.287862175147009,0.0,160.0,2019
7d3b582441cc3500f332002291f7b907,158.6402266288952,14.646527355822506,0.0,160.0,2020
7e006fcaa465bc97cea896fa5a754641,156.73504273504273,20.459123739280532,0.0,160.0,2024
7f8a2bcf0a239dabddf64541defd7da3,159.10588235294117,10.419572205553099,0.0,160.0,2016
81f9e2aeec990be7b0e6338f6dc12b69,157.30864197530863,18.22885211368823,0.0,160.0,2017
82218dc9704cf9ed35497197e6418b66,158.42105263157896,13.505485641577668,0.0,160.0,2020
8681eb1775bbb777539302086085328e,159.30140845070423,9.070774653408753,0.0,160.0,2023
88816733801f96960ca5e6ea8333bb7e,158.7235494880546,12.767226813551659,0.0,160.0,2024
8a8302b605b728a562803ff4b0f3aefe,157.89847715736042,16.97596884060765,0.0,160.0,2020
8af7cd5782f65c01a7942da5d56d1c66,158.75836431226764,12.213781926837141,0.0,160.0,2018
90e08ff7c087e174cc45027d0af5f87e,157.6281407035176,19.139636066231223,0.0,160.0,2021
91f7a3cadc1e8f637cdd520daea3bcc6,154.0,29.874738492579308,0.0,160.0,2017
9473652db1c8cba2a46d4408eee53570,159.11466666666666,10.310431524309195,0.0,160.0,2018
